name	id	level	prev	n	estimate	lower	upper	se	p.value	q.value	subspecies	species	genus	family	order	class	phylum	superkingdom
Eubacteriales sp.	HG3A.0759	order	0.0522679148556782	8973	0.0826777504773904	0.0427068027975899	0.122648698157191	0.0203909182859742	5.06440536115256e-05	0.00314151395058995	unclassified	unclassified	unclassified	unclassified	Eubacteriales	Clostridia	Firmicutes	Bacteria
Intestinimonas sp.	HG3A.1149	genus	0.0460269697982837	8973	0.0819206994405381	0.0419591461291002	0.121882252751976	0.0203861352945152	5.90668494485429e-05	0.00355296048955629	unclassified	unclassified	Intestinimonas	unclassified	Eubacteriales	Clostridia	Firmicutes	Bacteria
Roseburia inulinivorans	HG3A.0036	species	0.950406775883205	8973	0.0816193571541749	0.0413017469887152	0.121936967319635	0.0205677730675235	7.29551688343065e-05	0.0042592944157676	unclassified	Roseburia inulinivorans	Roseburia	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Eubacteriales sp.	HG3A.0092	order	0.772985623537279	8973	-0.0797294513517526	-0.119915014776885	-0.0395438879266202	0.0205004112944163	0.000101326382399808	0.00562279912051955	unclassified	unclassified	unclassified	unclassified	Eubacteriales	Clostridia	Firmicutes	Bacteria
Eubacteriales sp.	HG3A.0373	order	0.180541624874624	8973	-0.0791922163416522	-0.119163264407083	-0.0392211682762211	0.0203909783673368	0.000103632159166654	0.00562279912051955	unclassified	unclassified	unclassified	unclassified	Eubacteriales	Clostridia	Firmicutes	Bacteria
Streptococcus salivarius	HG3A.0071	species	0.952078457595007	8973	0.0795440869457632	0.0392925713432127	0.119795602548314	0.0205340574870992	0.00010793949975262	0.00562279912051955	unclassified	Streptococcus salivarius	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Eubacteriales sp.	HG3A.1303	order	0.0122589992198819	8973	0.0787766228234564	0.0388304100567894	0.118722835590123	0.0203783042630743	0.000111559559471255	0.00562279912051955	unclassified	unclassified	unclassified	unclassified	Eubacteriales	Clostridia	Firmicutes	Bacteria
Lactobacillus gasseri	HG3A.0884	species	0.115346038114343	8973	0.0789991999994692	0.0389032617131778	0.119095138285761	0.0204546892039525	0.000113191877445306	0.00562279912051955	unclassified	Lactobacillus gasseri	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Eubacteriales sp.	HG3A.0269	order	0.362309149671236	8973	-0.0795740515763846	-0.11996433356339	-0.0391837695893787	0.0206048479513436	0.000113305775728354	0.00562279912051955	unclassified	unclassified	unclassified	unclassified	Eubacteriales	Clostridia	Firmicutes	Bacteria
Flavonifractor plautii	HG3A.0079	species	0.921096623202942	8973	0.0788130164030844	0.0386400675820154	0.118985965224154	0.0204939760103692	0.000121067808862446	0.00586145367297451	unclassified	Flavonifractor plautii	Flavonifractor	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Acidaminococcus intestini	HG3A.0407	species	0.133400200601805	8973	0.0780054767110252	0.0379309150002735	0.118080038421777	0.0204437846080827	0.000136772541959523	0.00646413085213459	unclassified	Acidaminococcus intestini	Acidaminococcus	Acidaminococcaceae	Acidaminococcales	Negativicutes	Firmicutes	Bacteria
Eubacteriales sp.	HG3A.1158	order	0.0191686169619971	8973	0.0773831471037753	0.0374250990708735	0.117341195136677	0.0203843088337523	0.0001479183389085	0.00682832331938076	unclassified	unclassified	unclassified	unclassified	Eubacteriales	Clostridia	Firmicutes	Bacteria
Lachnospiraceae sp.	HG3A.0433	family	0.385601248189011	8973	0.0771054221541166	0.0370145818936476	0.117196262414586	0.0204520878369647	0.000164276179422726	0.00741109582168435	unclassified	unclassified	unclassified	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Eubacteriales sp.	HG3A.0350	order	0.205171068761841	8973	-0.0770226409463881	-0.117162883693008	-0.036882398199768	0.0204772926390208	0.000170075679178755	0.00750222718155176	unclassified	unclassified	unclassified	unclassified	Eubacteriales	Clostridia	Firmicutes	Bacteria
Streptococcus mutans	HG3A.0677	species	0.297559344700769	8973	0.0759223128657962	0.0359098604996762	0.115934765231916	0.0204121008033237	0.000200870663414793	0.00849416527532949	unclassified	Streptococcus mutans	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Anaerotruncus colihominis	HG3A.0307	species	0.677922656859467	8973	0.0760427439170503	0.0359634519278489	0.116122035906252	0.0204461913931078	0.000201121293672789	0.00849416527532949	unclassified	Anaerotruncus colihominis	Anaerotruncus	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Lachnospiraceae sp.	HG3A.0930	family	0.1075448567926	8973	0.0757145911272505	0.0357078820050452	0.115721300249456	0.0204091712091127	0.000208666314357564	0.00862922154166177	unclassified	unclassified	unclassified	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Eubacteriales sp.	HG3A.0087	order	0.775771759723615	8973	-0.075722518710587	-0.116205149666778	-0.0352398877543955	0.0206519598171736	0.000247234184659814	0.0100155072765251	unclassified	unclassified	unclassified	unclassified	Eubacteriales	Clostridia	Firmicutes	Bacteria
Firmicutes sp.	HG3A.1222	phylum	0.0176083806976485	8973	0.0745633297138305	0.0345712382608478	0.114555421166813	0.0204017136853904	0.00025891401118514	0.0102788862440501	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Firmicutes	Bacteria
Oscillospiraceae sp.	HG3A.0207	family	0.382257884765407	8973	-0.0747396996316643	-0.114975596635513	-0.0345038026278155	0.0205260896278968	0.000272913333851724	0.0105765740683581	unclassified	unclassified	unclassified	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Oscillibacter sp. PEA192	HG3A.0021	species	0.9839518555667	8973	0.075557671056885	0.0348378307017924	0.116277511411978	0.0207729707318423	0.000277068942848676	0.0105765740683581	unclassified	Oscillibacter sp. PEA192	Oscillibacter	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Bifidobacterium dentium	HG3A.0579	species	0.262231137858019	8973	0.0738854999636628	0.0339087455549195	0.113862254372406	0.0203938850452806	0.000292924839050538	0.010970864255006	unclassified	Bifidobacterium dentium	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinomycetia	Actinobacteria	Bacteria
Eubacteriales sp.	HG3A.0854	order	0.04301794271704	8973	0.07319663029306	0.0332315891350343	0.113161671451086	0.0203879143713792	0.000332216123588401	0.0122120186170922	unclassified	unclassified	unclassified	unclassified	Eubacteriales	Clostridia	Firmicutes	Bacteria
Eubacteriales sp.	HG3A.1354	order	0.0325420706564137	8973	0.0727208320374824	0.0328146651187564	0.112626998956208	0.0203577869033305	0.00035602142604108	0.0128491369216644	unclassified	unclassified	unclassified	unclassified	Eubacteriales	Clostridia	Firmicutes	Bacteria
Clostridiaceae sp.	HG3A.0431	family	0.189457260670902	8973	0.072151360857314	0.0321709900194858	0.112131731695142	0.0203957334856854	0.000405893769491382	0.0142867214621135	unclassified	unclassified	unclassified	Clostridiaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Anaeromassilibacillus sp. Marseille-P3371	HG3A.0304	species	0.316393625320406	8973	0.0725076878416892	0.0322977763504951	0.112717599332883	0.0205128337266825	0.000410248424856659	0.0142867214621135	unclassified	Anaeromassilibacillus sp. Marseille-P3371	Anaeromassilibacillus	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Flintibacter sp. KGMB00164	HG3A.0374	species	0.334893569597682	8973	0.0719178128505443	0.0319335838899713	0.111902041811117	0.0203977000720946	0.000424374087624694	0.014514603701294	unclassified	Flintibacter sp. KGMB00164	Flintibacter	unclassified	Eubacteriales	Clostridia	Firmicutes	Bacteria
Intestinimonas sp.	HG3A.1018	genus	0.122924328541179	8973	0.0720552945072267	0.0319449888103475	0.112165600204106	0.0204620039885709	0.000431416432431407	0.014514603701294	unclassified	unclassified	Intestinimonas	unclassified	Eubacteriales	Clostridia	Firmicutes	Bacteria
Lachnospiraceae sp.	HG3A.1066	family	0.037334224896913	8973	0.0717698456406727	0.0316763348591626	0.111863356422183	0.0204534121546107	0.000452159059065157	0.0147363004579877	unclassified	unclassified	unclassified	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Faecalibacterium prausnitzii	HG3A.0378	species	0.888108770756715	8973	-0.0717936248280306	-0.111916011325835	-0.0316712383302262	0.020468183084754	0.00045445894179237	0.0147363004579877	unclassified	Faecalibacterium prausnitzii	Faecalibacterium	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Flintibacter sp.	HG3A.0922	genus	0.137746573052491	8973	0.071498230551337	0.0315022711481238	0.11149418995455	0.0204036841607647	0.000460277394657549	0.0147363004579877	unclassified	unclassified	Flintibacter	unclassified	Eubacteriales	Clostridia	Firmicutes	Bacteria
Firmicutes sp.	HG3A.0942	phylum	0.0316505070767859	8973	0.0712174615879684	0.0312713113388566	0.11116361183708	0.0203782473852942	0.000476801482616274	0.0150230308411635	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Firmicutes	Bacteria
Bacteria sp.	HG3A.0920	superkingdom	0.0316505070767859	8973	-0.0703992028755457	-0.110336618591841	-0.0304617871592501	0.0203738183077363	0.000552105910323466	0.0171239098748763	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Bacteria
Hungatella hathewayi	HG3A.0455	species	0.424272818455366	8973	0.0701423609853522	0.0301339445378102	0.110150777432894	0.0204100407294737	0.0005916432309683	0.0180678740534165	unclassified	Hungatella hathewayi	Hungatella	Clostridiaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Eubacteriales sp.	HG3A.0254	order	0.284631672796166	8973	0.0702253278559156	0.0299546819779166	0.110495973733915	0.0205438161036229	0.000632930037855099	0.019035850380945	unclassified	unclassified	unclassified	unclassified	Eubacteriales	Clostridia	Firmicutes	Bacteria
Eubacteriales sp.	HG3A.0935	order	0.0304246071547977	8973	-0.0695853122844494	-0.1096879566613	-0.0294826679075985	0.0204581120648664	0.00067349062774148	0.0199534163592065	unclassified	unclassified	unclassified	unclassified	Eubacteriales	Clostridia	Firmicutes	Bacteria
Sellimonas intestinalis	HG3A.0417	species	0.27705338236933	8973	0.0690578410705028	0.0290273506479021	0.109088331493104	0.0204213031945583	0.000723618556322232	0.0211232769749946	unclassified	Sellimonas intestinalis	Sellimonas	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Butyricicoccus sp. OM04-18BH	HG3A.0139	species	0.606709015936699	8973	-0.068501802870702	-0.108517238415623	-0.0284863673257806	0.0204136226648713	0.000795000182170569	0.0225793433492635	unclassified	Butyricicoccus sp. OM04-18BH	Butyricicoccus	Clostridiaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Oscillospiraceae sp.	HG3A.1278	family	0.0444667335339351	8973	0.0683135388268052	0.0284032243736599	0.10822385327995	0.0203598904645457	0.000796248883853121	0.0225793433492635	unclassified	unclassified	unclassified	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Eggerthellales sp.	HG3A.1909	order	0.00256324529142985	8973	0.0680296232120301	0.028078920121849	0.107980326302211	0.0203805981964262	0.000847441025453173	0.0236925413454162	unclassified	unclassified	unclassified	unclassified	Eggerthellales	Coriobacteriia	Actinobacteria	Bacteria
[Clostridium] spiroforme	HG3A.0259	species	0.348378468739552	8973	0.0681903539858369	0.0280669116963297	0.108313796275344	0.0204687218571657	0.000867510647123947	0.0239167865908477	unclassified	[Clostridium] spiroforme	Erysipelatoclostridium	Erysipelotrichaceae	Erysipelotrichales	Erysipelotrichia	Firmicutes	Bacteria
Eubacteriales sp.	HG3A.1250	order	0.037111334002006	8973	0.0677678918576508	0.0277920817618265	0.107743701953475	0.0203934081646314	0.000894066972870635	0.0243112731664138	unclassified	unclassified	unclassified	unclassified	Eubacteriales	Clostridia	Firmicutes	Bacteria
Desulfovibrio piger	HG3A.0240	species	0.28797503621977	8973	0.0676229139309401	0.0274756456805637	0.107770182181317	0.0204808732458938	0.000964613976622717	0.0257430187781643	unclassified	Desulfovibrio piger	Desulfovibrio	Desulfovibrionaceae	Desulfovibrionales	Deltaproteobacteria	Proteobacteria	Bacteria
Eubacteriales sp.	HG3A.0568	order	0.149782681377466	8973	-0.06735050529912	-0.107364276308797	-0.0273367342894427	0.0204127544657572	0.000972658140232909	0.0257430187781643	unclassified	unclassified	unclassified	unclassified	Eubacteriales	Clostridia	Firmicutes	Bacteria
Alistipes sp. AF17-16	HG3A.0150	species	0.49214309595453	8973	-0.0673160710814805	-0.107465543206397	-0.0271665989565641	0.0204820009634923	0.00101800801712931	0.0265887620263379	unclassified	Alistipes sp. AF17-16	Alistipes	Rikenellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Eubacteriales sp.	HG3A.0505	order	0.122701437646272	8973	-0.0668997560377663	-0.106907235270129	-0.0268922768054033	0.0204095567101901	0.00104999945391395	0.0266308560682266	unclassified	unclassified	unclassified	unclassified	Eubacteriales	Clostridia	Firmicutes	Bacteria
Eubacteriales sp.	HG3A.0270	order	0.583528362866377	8973	0.0672921191229795	0.0270363980220685	0.107547840223891	0.0205362021140325	0.00105411564236876	0.0266308560682266	unclassified	unclassified	unclassified	unclassified	Eubacteriales	Clostridia	Firmicutes	Bacteria
Oscillospiraceae sp.	HG3A.0616	family	0.217430067981723	8973	-0.0671287745002259	-0.107305649371282	-0.0269518996291702	0.0204959799721539	0.00105986782337023	0.0266308560682266	unclassified	unclassified	unclassified	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Leuconostoc lactis	HG3A.1458	species	0.0303131617073443	8973	0.0666755175940378	0.0267122764432568	0.106638758744819	0.0203869944778752	0.00107770975936574	0.0266437635425626	unclassified	Leuconostoc lactis	Leuconostoc	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Bifidobacterium pullorum subsp. gallinarum	HG3A.1171	subspecies	0.0168282625654742	8973	0.0666338901956326	0.0266569966367732	0.106610783754492	0.020393961060955	0.00108978893841632	0.0266437635425626	Bifidobacterium pullorum subsp. gallinarum	Bifidobacterium pullorum	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinomycetia	Actinobacteria	Bacteria
Alistipes communis	HG3A.0064	species	0.808202384932575	8973	-0.0670965881044748	-0.107385730255488	-0.026807445953462	0.0205532475789837	0.00110064917405044	0.0266437635425626	unclassified	Alistipes communis	Alistipes	Rikenellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Oscillospiraceae sp.	HG3A.1161	family	0.05104201493369	8973	0.0660757191586795	0.0261093002470152	0.106042138070344	0.0203886156601644	0.00119629558797123	0.0286102017123239	unclassified	unclassified	unclassified	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Muribaculaceae sp.	HG3A.1967	family	0.0015602362643486	8973	0.065973226595947	0.0260139370589728	0.105932516132921	0.0203849785882883	0.00121508043665016	0.0287135079375068	unclassified	unclassified	unclassified	Muribaculaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Prevotella marseillensis	HG3A.0424	species	0.15825253538393	8973	0.066789172309418	0.0259949556447721	0.107583388974064	0.0208109130765374	0.0013351715261946	0.0311801821117209	unclassified	Prevotella marseillensis	Prevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Veillonellaceae sp.	HG3A.1555	family	0.00590660871503399	8973	0.0652275425832938	0.0252662481680964	0.105188836998491	0.020386001315599	0.00138092350398051	0.0317699543418708	unclassified	unclassified	unclassified	Veillonellaceae	Veillonellales	Negativicutes	Firmicutes	Bacteria
Eubacteriales sp.	HG3A.0685	order	0.0812437311935808	8973	-0.0653185200076364	-0.105365553755376	-0.0252714862598965	0.0204297424704605	0.0013924362860165	0.0317699543418708	unclassified	unclassified	unclassified	unclassified	Eubacteriales	Clostridia	Firmicutes	Bacteria
Eubacteriales sp.	HG3A.0105	order	0.855343809205394	8973	0.0654043924490532	0.025154208824375	0.105654576073731	0.0205333660123495	0.0014512075755149	0.0327346254249667	unclassified	unclassified	unclassified	unclassified	Eubacteriales	Clostridia	Firmicutes	Bacteria
Traorella massiliensis	HG3A.0669	species	0.147107990638582	8973	0.0648935035382727	0.0248329449856595	0.104954062090886	0.0204366422517545	0.00150168558950696	0.0334926505075429	unclassified	Traorella massiliensis	Traorella	Erysipelotrichaceae	Erysipelotrichales	Erysipelotrichia	Firmicutes	Bacteria
Allisonella histaminiformans	HG3A.0332	species	0.213863813663212	8973	0.0651841651998045	0.0247438985429141	0.105624431856695	0.0206303466335515	0.0015850407744915	0.0349589548596181	unclassified	Allisonella histaminiformans	Allisonella	Veillonellaceae	Veillonellales	Negativicutes	Firmicutes	Bacteria
Bifidobacterium breve	HG3A.1387	species	0.0237378803075894	8973	0.0640322177321394	0.023982210888671	0.104082224575608	0.0204312593753211	0.00172985325308912	0.0377336121690319	unclassified	Bifidobacterium breve	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinomycetia	Actinobacteria	Bacteria
Eubacteriales sp.	HG3A.0196	order	0.478546751365207	8973	-0.0644920620292333	-0.104912163330345	-0.0240719607281219	0.0206200600901066	0.00176789107316942	0.0378935117830361	unclassified	unclassified	unclassified	unclassified	Eubacteriales	Clostridia	Firmicutes	Bacteria
Pseudoflavonifractor sp. An184	HG3A.0253	species	0.600690961774212	8973	0.0640302716939924	0.0238836646615754	0.104176878726409	0.0204805369250982	0.00177536352434376	0.0378935117830361	unclassified	Pseudoflavonifractor sp. An184	Pseudoflavonifractor	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Lachnospiraceae sp.	HG3A.0422	family	0.258664883539507	8973	0.0636441562402757	0.0235817287098373	0.103706583770714	0.0204375945606144	0.00185112956130959	0.0390903423319099	unclassified	unclassified	unclassified	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Eubacteriales sp.	HG3A.0601	order	0.114231583639808	8973	-0.0632403664501718	-0.103397837634363	-0.0230828952659801	0.0204860814785265	0.00202817915756585	0.0423782697659812	unclassified	unclassified	unclassified	unclassified	Eubacteriales	Clostridia	Firmicutes	Bacteria
Eubacteriales sp.	HG3A.0721	order	0.23147219436086	8973	0.062970036735053	0.0228862458711194	0.103053827598987	0.0204484926081075	0.002080210792963	0.0425829936034547	unclassified	unclassified	unclassified	unclassified	Eubacteriales	Clostridia	Firmicutes	Bacteria
Eubacteriales sp.	HG3A.1129	order	0.0708793045804079	8973	0.0625405831349643	0.0227299491822939	0.102351217087635	0.0203086919540621	0.00208088180329224	0.0425829936034547	unclassified	unclassified	unclassified	unclassified	Eubacteriales	Clostridia	Firmicutes	Bacteria
